"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"344","027740","마니커","KOSPI","음식료품",708,-3,-0.42,140518596552
"345","204320","만도","KOSPI","운수장비",66400,100,0.15,3117952768000
"346","001080","만호제강","KOSPI","철강금속",20050,350,1.78,83207500000
"347","088980","맥쿼리인프라","KOSPI","기타금융",11600,200,1.75,4317432826000
"348","094800","맵스리얼티1","KOSPI","기타금융",4440,130,3.02,412184429640
"349","138040","메리츠금융지주","KOSPI","기타금융",15300,400,2.68,2050372798200
"350","008560","메리츠증권","KOSPI","증권",4370,50,1.16,2953952746990
"351","000060","메리츠화재","KOSPI","보험",17750,0,0,2141093750000
"352","090370","메타랩스","KOSPI","섬유의복",1195,0,0,76109474715
"353","017180","명문제약","KOSPI","의약품",5340,20,0.38,181311444360
"354","009900","명신산업","KOSPI","운수장비",25100,-250,-0.99,1023555912000
"355","012690","모나리자","KOSPI","종이목재",5040,-100,-1.95,184319125200
"356","005360","모나미","KOSPI","유통업",4950,-230,-4.44,93541669650
"357","204210","모두투어리츠","KOSPI","서비스업",3310,30,0.91,25906757650
"358","009680","모토닉","KOSPI","운수장비",12350,-50,-0.4,4.0755e+11
"359","009580","무림P&P","KOSPI","종이목재",4930,25,0.51,307475837320
"360","009200","무림페이퍼","KOSPI","종이목재",2925,-20,-0.68,121707231750
"361","033920","무학","KOSPI","음식료품",6890,-20,-0.29,1.96365e+11
"362","008420","문배철강","KOSPI","철강금속",3780,60,1.61,77503248900
"363","025560","미래산업","KOSPI","의료정밀",3210,-35,-1.08,59908002090
